Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status,Latitude,Longitude,Altitude,Utm_easting,Utm_northing,Zone,Letter
1698238892.2852,2288,1698238892,283959150,GPS1_FRAME,1,42.343241666666664,-71.08563,25.5,328200.8546174529,4689993.735096475,19,T
1698238892.4060552,2289,1698238892,283959150,GPS1_FRAME,1,42.343241666666664,-71.08563,25.5,328200.8546174529,4689993.735096475,19,T
1698238892.5708988,2290,1698238892,283959150,GPS1_FRAME,1,42.343241666666664,-71.08563,25.5,328200.8546174529,4689993.735096475,19,T
1698238893.284782,2291,1698238893,283745527,GPS1_FRAME,1,42.343268333333334,-71.08566833333333,25.4,328197.7694994924,4689996.773687944,19,T
1698238893.4058516,2292,1698238893,283745527,GPS1_FRAME,1,42.343268333333334,-71.08566833333333,25.4,328197.7694994924,4689996.773687944,19,T
1698238893.570753,2293,1698238893,283745527,GPS1_FRAME,1,42.343268333333334,-71.08566833333333,25.4,328197.7694994924,4689996.773687944,19,T
1698238894.2847455,2294,1698238894,283827304,GPS1_FRAME,1,42.343286666666664,-71.08569833333334,25.5,328195.3481527384,4689998.870087633,19,T
1698238894.4058177,2295,1698238894,283827304,GPS1_FRAME,1,42.343286666666664,-71.08569833333334,25.5,328195.3481527384,4689998.870087633,19,T
1698238894.5708327,2296,1698238894,283827304,GPS1_FRAME,1,42.343286666666664,-71.08569833333334,25.5,328195.3481527384,4689998.870087633,19,T
1698238895.2853112,2297,1698238895,284342765,GPS1_FRAME,1,42.34329666666667,-71.085725,25.2,328193.1786948986,4690000.034398537,19,T
1698238895.4062932,2298,1698238895,284342765,GPS1_FRAME,1,42.34329666666667,-71.085725,25.2,328193.1786948986,4690000.034398537,19,T
1698238895.5667973,2299,1698238895,284342765,GPS1_FRAME,1,42.34329666666667,-71.085725,25.2,328193.1786948986,4690000.034398537,19,T
1698238895.7228389,2300,1698238895,284342765,GPS1_FRAME,1,42.34329666666667,-71.085725,25.2,328193.1786948986,4690000.034398537,19,T
1698238895.86461,2301,1698238895,284342765,GPS1_FRAME,1,42.34329666666667,-71.085725,25.2,328193.1786948986,4690000.034398537,19,T
1698238896.0292404,2302,1698238895,284342765,GPS1_FRAME,1,42.34329666666667,-71.085725,25.2,328193.1786948986,4690000.034398537,19,T
